global_id,title,company,url,fetched_at
workday:JR-2502765,Software Engineer Intern (Diploma),globalfoundries,https://globalfoundries.wd1.myworkdayjobs.com/external/job/SGP---Woodlands/XMLNAME-2H-University-Intern---CMP-Module-Engineering_JR-2502765,2026-08-04T15:30:46.130921+00:00
workday:JR-2502734,Implant Equipment Assistant Engineer (Diploma Intern),globalfoundries,https://globalfoundries.wd1.myworkdayjobs.com/external/job/SGP---Woodlands/Implant-Equipment-Assistant-Engineer--Diploma-Intern-_JR-2502734,2026-08-04T15:30:46.130921+00:00
workday:JR-2502711,Implant Equipment Assistant Engineer (Diploma Intern),globalfoundries,https://globalfoundries.wd1.myworkdayjobs.com/external/job/SGP---Woodlands/Implant-Equipment-Assistant-Engineer--Diploma-Intern-_JR-2502711,2026-08-04T15:30:46.130921+00:00
workday:JR-2502751,"Equipment Engineering Intern, Metrology (July to December)",globalfoundries,https://globalfoundries.wd1.myworkdayjobs.com/external/job/SGP---Woodlands/XMLNAME-2H-University-Intern---Metrology-Equipment-Engineering_JR-2502751,2026-08-04T15:30:46.130921+00:00
workday:JR-2502775,2H University Intern - Industrial Engineering (Layout),globalfoundries,https://globalfoundries.wd1.myworkdayjobs.com/external/job/SGP---Woodlands/XMLNAME-2H-University-Intern---Industrial-Engineering--Layout-_JR-2502775,2026-08-04T15:30:46.130921+00:00
workday:JR-2502753,2H University Intern - Clean Tech Engineering Module,globalfoundries,https://globalfoundries.wd1.myworkdayjobs.com/external/job/SGP---Woodlands/XMLNAME-2H-University-Intern---Clean-Tech-Engineering-Module_JR-2502753,2026-08-04T15:30:46.130921+00:00
workday:JR-2502758,2H University Intern - Process Integration,globalfoundries,https://globalfoundries.wd1.myworkdayjobs.com/external/job/SGP---Woodlands/XMLNAME-2H-University-Intern---Process-Integration_JR-2502758,2026-08-04T15:30:46.130921+00:00
workday:JR-2502689,"2H University Intern, Corporate Communications Intern (APAC)",globalfoundries,https://globalfoundries.wd1.myworkdayjobs.com/external/job/SGP---Woodlands/XMLNAME-1H-University-Intern--Corporate-Communications-Intern--APAC-_JR-2502689,2026-08-04T15:30:46.130921+00:00
workday:JR-2502696,2H University Intern - Environmental & Sustainability,globalfoundries,https://globalfoundries.wd1.myworkdayjobs.com/external/job/SGP---Woodlands/XMLNAME-2H-University-Intern---Environmental---Sustainability_JR-2502696,2026-08-04T15:30:46.130921+00:00
workday:JR-2503753,2H University Intern - FR CMOS Device Engineering,globalfoundries,https://globalfoundries.wd1.myworkdayjobs.com/external/job/Singapore/Intern---FR-CMOS_JR-2503753,2026-08-04T15:30:46.130921+00:00
